ICD9	ICD9.String	PheCode	Phenotype	ICD9Nodots
038.42	Septicemia due to escherichia coli [E. coli]	038.1	Gram negative septicemia	03842
038.43	Septicemia due to pseudomonas	038.1	Gram negative septicemia	03843
038.44	Septicemia due to serratia	038.1	Gram negative septicemia	03844
038.49	Other septicemia due to gram-negative organisms	038.1	Gram negative septicemia	03849
038.8	Other specified septicemias	038	Septicemia	0388
038.9	Septicemia NOS	038	Septicemia	0389
039	Actinomycotic infections	041	Bacterial infection NOS	039
039.0	Cutaneous actinomycosis	686	Other local infections of skin and subcutaneous tissue	0390
039.1	Pulmonary actinomycosis	480.1	Bacterial pneumonia	0391
039.2	Abdominal actinomycosis	041	Bacterial infection NOS	0392
039.3	Cervicofacial actinomycotic infection	041	Bacterial infection NOS	0393
039.4	Madura foot	041	Bacterial infection NOS	0394
039.8	Actinomycotic infection of other specified sites	041	Bacterial infection NOS	0398
039.9	Actinomycosis NOS	041	Bacterial infection NOS	0399
040	Other bacterial diseases	041	Bacterial infection NOS	040
040.0	Gas gangrene	041	Bacterial infection NOS	0400
040.1	Rhinoscleroma	041	Bacterial infection NOS	0401
040.2	Whipple's disease	041	Bacterial infection NOS	0402
040.3	Necrobacillosis	041	Bacterial infection NOS	0403
040.4	Other specified botulism	041	Bacterial infection NOS	0404
040.41	Infant botulism	657	Infections specific to the perinatal period	04041
040.42	Wound botulism	041	Bacterial infection NOS	04042
040.8	Other specified bacterial disease	041	Bacterial infection NOS	0408
040.81	Tropical pyomyositis	041	Bacterial infection NOS	04081
040.82	Toxic shock syndrome	041	Bacterial infection NOS	04082
040.89	Other specified bacterial diseases	041	Bacterial infection NOS	04089
041	Bacterial infection in conditions classified elsewhere and of unspecified site	041	Bacterial infection NOS	041
041.0	Streptococcus infection in conditions classified elsewhere and of unspecified site	041.2	Streptococcus infection	0410
041.00	Unspecified Streptococcus infection in conditions classified elsewhere and of unspecified site	041.2	Streptococcus infection	04100
041.01	Group A Streptococcus infection in conditions classified elsewhere and of unspecified site	041.2	Streptococcus infection	04101
041.02	Group B Streptococcus infection in conditions classified elsewhere and of unspecified site	041.2	Streptococcus infection	04102
041.03	Group C Streptococcus infection in conditions classified elsewhere and of unspecified site	041.2	Streptococcus infection	04103
041.04	Group D Streptococcus [Enterococcus] infection in conditions classified elsewhere and of unspecified site	041.2	Streptococcus infection	04104
041.05	Group G Streptococcus infection in conditions classified elsewhere and of unspecified site	041.2	Streptococcus infection	04105
041.09	Other Streptococcus infection in conditions classified elsewhere and of unspecified site	041.2	Streptococcus infection	04109
041.1	Staphylococcus infection in conditions classified elsewhere and of unspecified site	041.1	Staphylococcus infections	0411
041.10	Unspecified Staphylococcus infection in conditions classified elsewhere and of unspecified site	041.1	Staphylococcus infections	04110
041.11	Methicillin susceptible Staphylococcus aureus infection in conditions classified elsewhere and of unspecified site	041.11	Methicillin sensitive Staphylococcus aureus	04111
041.12	Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site	041.12	Methicillin resistant Staphylococcus aureus	04112
041.19	Other Staphylococcus infection in conditions classified elsewhere and of unspecified site	041.1	Staphylococcus infections	04119
041.2	Pneumococcus infection in conditions classified elsewhere and of unspecified site	041	Bacterial infection NOS	0412
041.3	Friedlander's bacillus infection in conditions classified elsewhere and of unspecified site	041	Bacterial infection NOS	0413
041.4	Escherichia coli [E. coli] infection in conditions classified elsewhere and of unspecified site	041.4	E. coli	0414
041.41	Shiga toxin-producing Escherichia coli [E. coli] (STEC) O157	041.4	E. coli	04141
041.42	Other specified Shiga toxin-producing Escherichia coli [E. coli] (STEC)	041.4	E. coli	04142
041.43	Shiga toxin-producing Escherichia coli [E. coli] (STEC), unspecified	041.4	E. coli	04143
041.49	Other and unspecified Escherichia coli [E. coli]	041.4	E. coli	04149
041.5	Hemophilus influenzae [H. influenzae] infection in conditions classified elsewhere and of unspecified site	041	Bacterial infection NOS	0415
041.6	Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site	041	Bacterial infection NOS	0416
041.7	Pseudomonas infection in conditions classified elsewhere and of unspecified site	041	Bacterial infection NOS	0417
041.8	Other specified bacterial infections in conditions classified elsewhere and of unspecified site	041	Bacterial infection NOS	0418
041.81	Mycoplasma infection in conditions classified elsewhere and of unspecified site	041	Bacterial infection NOS	04181
041.82	Bacteroides fragilis infection in conditions classified elsewhere and of unspecified site	041	Bacterial infection NOS	04182
041.83	Clostridium perfringens infection in conditions classified elsewhere and of unspecified site	041	Bacterial infection NOS	04183
041.84	Other anaerobe infection in conditions classified elsewhere and of unspecified site	041	Bacterial infection NOS	04184
041.85	Other gram-negative organism infection in conditions classified elsewhere and of unspecified site	041	Bacterial infection NOS	04185
041.86	Helicobacter pylori (H. pylori) infection in conditions classified elsewhere and of unspecified site	041.8	H. pylori	04186
041.89	Other specified bacterial infection in conditions classified elsewhere and of unspecified site	041	Bacterial infection NOS	04189
041.9	Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site	041	Bacterial infection NOS	0419
042	Human immunodeficiency virus [HIV] disease	071.1	HIV infection, symptomatic	042
042.0	HIV infection with certain specified infections	071.1	HIV infection, symptomatic	0420
042.1	HIV infection causing other specified infections	071.1	HIV infection, symptomatic	0421
042.2	HIV infection with specified malignant neoplasms	071.1	HIV infection, symptomatic	0422
042.9	Acquired immunodeficiency syndrome with or without other conditions	071.1	HIV infection, symptomatic	0429
043	HIV causing other specified conditions	071	Human immunodeficiency virus [HIV] disease	043
043.0	HIV causing lymphandenopathy	071	Human immunodeficiency virus [HIV] disease	0430
043.1	HIV causing specified diseases of the central nervous system	071	Human immunodeficiency virus [HIV] disease	0431
043.2	HIV causing other disorders involving the immune mechanism	071	Human immunodeficiency virus [HIV] disease	0432
043.3	HIV causing other specified conditions	071	Human immunodeficiency virus [HIV] disease	0433
043.9	Acquired immunodeficiency syndrome-related complex with or without other conditions	071	Human immunodeficiency virus [HIV] disease	0439
044	Other human immunodeficiency virus (HIV) infection	071	Human immunodeficiency virus [HIV] disease	044
044.0	HIV infection causing specified acute infections	071	Human immunodeficiency virus [HIV] disease	0440
044.9	HIV infection not otherwise specified (with or without other conditions not classifiable to 042, 043, 044.0)	071	Human immunodeficiency virus [HIV] disease	0449
045	Acute poliomyelitis	324	Other CNS infection and poliomyelitis	045
045.0	Acute paralytic poliomyelitis specified as bulbar	324	Other CNS infection and poliomyelitis	0450
045.00	Acute paralytic poliomyelitis specified as bulbar, unspecified type of poliovirus	324	Other CNS infection and poliomyelitis	04500
045.01	Acute paralytic poliomyelitis specified as bulbar, poliovirus type I	324	Other CNS infection and poliomyelitis	04501
045.02	Acute paralytic poliomyelitis specified as bulbar, poliovirus type II	324	Other CNS infection and poliomyelitis	04502
045.03	Acute paralytic poliomyelitis specified as bulbar, poliovirus type III	324	Other CNS infection and poliomyelitis	04503
045.1	Acute poliomyelitis with other paralysis	324	Other CNS infection and poliomyelitis	0451
045.10	Acute poliomyelitis with other paralysis, unspecified type of poliovirus	324	Other CNS infection and poliomyelitis	04510
045.11	Acute poliomyelitis with other paralysis, poliovirus type I	324	Other CNS infection and poliomyelitis	04511
045.12	Acute poliomyelitis with other paralysis, poliovirus type II	324	Other CNS infection and poliomyelitis	04512
045.13	Acute poliomyelitis with other paralysis, poliovirus type III	324	Other CNS infection and poliomyelitis	04513
045.2	Acute nonparalytic poliomyelitis	324	Other CNS infection and poliomyelitis	0452
045.20	Acute nonparalytic poliomyelitis, unspecified type poliovirus	324	Other CNS infection and poliomyelitis	04520
045.21	Acute nonparalytic poliomyelitis, poliovirus type I	324	Other CNS infection and poliomyelitis	04521
045.22	Acute nonparalytic poliomyelitis, poliovirus type II	324	Other CNS infection and poliomyelitis	04522
045.23	Acute nonparalytic poliomyelitis, poliovirus type III	324	Other CNS infection and poliomyelitis	04523
045.9	Acute poliomyelitis, unspecified	324	Other CNS infection and poliomyelitis	0459
045.90	Acute poliomyelitis, unspecified, poliovirus, unspecified type	324	Other CNS infection and poliomyelitis	04590
045.91	Acute poliomyelitis, unspecified, poliovirus type I	324	Other CNS infection and poliomyelitis	04591
045.92	Acute poliomyelitis, unspecified, poliovirus type II	324	Other CNS infection and poliomyelitis	04592
045.93	Acute poliomyelitis, unspecified, poliovirus type III	324	Other CNS infection and poliomyelitis	04593
046	Slow virus infections and prion diseases of central nervous system	324	Other CNS infection and poliomyelitis	046
046.0	Kuru	324	Other CNS infection and poliomyelitis	0460
046.1	Jakob-Creutzfeldt disease	324.1	Jakob-Creutzfeldt disease	0461
046.11	Variant Creutzfeldt-Jakob disease	324.1	Jakob-Creutzfeldt disease	04611
046.19	Other and unspecified Creutzfeldt-Jakob disease	324.1	Jakob-Creutzfeldt disease	04619
046.2	Subacute sclerosing panencephalitis	323	Encephalitis	0462
046.3	Progressive multifocal leukoencephalopathy	324	Other CNS infection and poliomyelitis	0463
046.7	Other specified prion diseases of central nervous system	324	Other CNS infection and poliomyelitis	0467
046.71	Gerstmann-Straussler-Scheinker syndrome	324	Other CNS infection and poliomyelitis	04671
046.72	Fatal familial insomnia	324	Other CNS infection and poliomyelitis	04672
046.79	Other and unspecified prion disease of central nervous system	324	Other CNS infection and poliomyelitis	04679
046.8	Other specified slow virus infection of central nervous system	324	Other CNS infection and poliomyelitis	0468
046.9	Unspecified slow virus infection of central nervous system	324	Other CNS infection and poliomyelitis	0469
047	Meningitis due to enterovirus	320	Meningitis	047
047.0	Meningitis due to coxsackie virus	320	Meningitis	0470
047.1	Meningitis due to ECHO virus	320	Meningitis	0471
047.8	Other specified viral meningitis	320	Meningitis	0478
047.9	Viral meningitis NOS	320	Meningitis	0479
048	Other enterovirus diseases of central nervous system	324	Other CNS infection and poliomyelitis	048
048.0	Other enterovirus diseases of central nervous system **	324	Other CNS infection and poliomyelitis	0480
049	Other non-arthropod-borne viral diseases of central nervous system	324	Other CNS infection and poliomyelitis	049
049.0	Non-arthropod-borne lymphocytic choriomeningitis	320	Meningitis	0490
049.1	Non-arthropod-borne meningitis due to adenovirus	320	Meningitis	0491
049.8	Other specified non-arthropod-borne viral diseases of central nervous system	323	Encephalitis	0498
049.9	Unspecified non-arthropod-borne viral diseases of central nervous system	323	Encephalitis	0499
050	Smallpox	079	Viral infection	050
050.0	Variola major	079	Viral infection	0500
050.1	Alastrim	079	Viral infection	0501
050.2	Modified smallpox	079	Viral infection	0502
050.9	Smallpox NOS	079	Viral infection	0509
051	Cowpox and paravaccinia	079	Viral infection	051
051.0	Cowpox and vaccinia not from vaccination	079	Viral infection	0510
051.01	Cowpox	079	Viral infection	05101
051.02	Vaccinia not from vaccination	079	Viral infection	05102
051.1	Pseudocowpox	079	Viral infection	0511
051.2	Contagious pustular derm	079	Viral infection	0512
051.9	Paravaccinia NOS	079	Viral infection	0519
052	Chickenpox	079.1	Varicella infection	052
052.0	Postvaricella encephalitis	323	Encephalitis	0520
052.1	Varicella (hemorrhagic) pneumonitis	480.2	Viral pneumonia	0521
052.2	Postvaricella myelitis	079.1	Varicella infection	0522
052.7	Chickenpox with other specified complications	079.1	Varicella infection	0527
052.8	Chickenpox with unspecified complication	079.1	Varicella infection	0528
052.9	Varicella uncomplicated	079.1	Varicella infection	0529
053	Herpes zoster	053	Herpes zoster	053
053.0	Herpes zoster with meningitis	320	Meningitis	0530
053.1	Herpes zoster with other nervous system complications	053.1	Herpes zoster with nervous system complications	0531
053.10	Herpes zoster with unspecified nervous system complication	053.1	Herpes zoster with nervous system complications	05310
053.11	Geniculate herpes zoster	053.1	Herpes zoster with nervous system complications	05311
053.12	Postherpetic trigeminal neuralgia	053.1	Herpes zoster with nervous system complications	05312
053.13	Postherpetic polyneuropathy	053.1	Herpes zoster with nervous system complications	05313
053.14	Herpes zoster myelitis	053.1	Herpes zoster with nervous system complications	05314
053.19	Herpes zoster with other nervous system complications	053.1	Herpes zoster with nervous system complications	05319
053.2	Herpes zoster with ophthalmic complications	369.2	Eye infection, viral	0532
053.20	Herpes zoster dermatitis of eyelid	369.2	Eye infection, viral	05320
053.21	Herpes zoster keratoconjunctivitis	369.2	Eye infection, viral	05321
053.22	Herpes zoster iridocyclitis	369.2	Eye infection, viral	05322
053.29	Herpes zoster with other ophthalmic complications	369.2	Eye infection, viral	05329
053.7	Herpes zoster with other specified complications	053	Herpes zoster	0537
053.71	Otitis externa due to herpes zoster	053	Herpes zoster	05371
053.79	Herpes zoster with other specified complications	053	Herpes zoster	05379
053.8	Herpes zoster with unspecified complication	053	Herpes zoster	0538
053.9	Herpes zoster without mention of complication	053	Herpes zoster	0539
054	Herpes simplex	054	Herpes simplex	054
054.0	Eczema herpeticum	054	Herpes simplex	0540
054.1	Genital herpes	054	Herpes simplex	0541
054.10	Genital herpes NOS	054	Herpes simplex	05410
054.11	Herpetic vulvovaginitis	054	Herpes simplex	05411
054.12	Herpetic ulceration of vulva	054	Herpes simplex	05412
054.13	Herpetic infection of penis	054	Herpes simplex	05413
054.19	Other genital herpes	054	Herpes simplex	05419
054.2	Herpetic gingivostomatitis	054	Herpes simplex	0542
054.3	Herpetic meningoencephalitis	323	Encephalitis	0543
054.4	Herpes simplex with ophthalmic complications	369.2	Eye infection, viral	0544
054.40	Herpes simplex with unspecified ophthalmic complication	369.2	Eye infection, viral	05440
054.41	Herpes simplex dermatitis of eyelid	369.2	Eye infection, viral	05441
054.42	Dendritic keratitis	369.2	Eye infection, viral	05442
054.43	Herpes simplex disciform keratitis	369.2	Eye infection, viral	05443
054.44	Herpes simplex iridocyclitis	369.2	Eye infection, viral	05444
054.49	Herpes simplex with other ophthalmic complications	369.2	Eye infection, viral	05449
054.5	Herpetic septicemia	038	Septicemia	0545
054.6	Herpetic whitlow	054	Herpes simplex	0546
054.7	Herpes simplex with other specified complications	054	Herpes simplex	0547
054.71	Herpes simplex visceral	054	Herpes simplex	05471
054.72	Herpes simplex meningitis	320	Meningitis	05472
054.73	Herpes simplex otitis externa	054	Herpes simplex	05473
054.74	Herpes simplex myelitis	054	Herpes simplex	05474
054.79	Herpes simplex with other specified complications	054	Herpes simplex	05479
054.8	Herpes simplex with unspecified complication	054	Herpes simplex	0548
054.9	Herpes simplex without mention of complication	054	Herpes simplex	0549
055	Measles	079	Viral infection	055
055.0	Postmeasles encephalitis	323	Encephalitis	0550
055.1	Postmeasles pneumonia	480.2	Viral pneumonia	0551
055.2	Postmeasles otitis media	381.1	Otitis media	0552
055.7	Measles with other specified complications	079	Viral infection	0557
055.71	Measles keratoconjunctivitis	369.2	Eye infection, viral	05571
055.79	Measles with other specified complications	079	Viral infection	05579
055.8	Measles complication NOS	079	Viral infection	0558
055.9	Measles without mention of complication	079	Viral infection	0559
056	Rubella	079	Viral infection	056
056.0	Rubella with neurological complications	079	Viral infection	0560
056.00	Rubella with unspecified neurological complication	079	Viral infection	05600
056.01	Encephalomyelitis due to rubella	323	Encephalitis	05601
056.09	Rubella with other neurological complications	079	Viral infection	05609
056.7	Rubella with other specified complications	079	Viral infection	0567
056.71	Arthritis due to rubella	711	Arthropathy associated with infections	05671
056.79	Rubella with other specified complications	079	Viral infection	05679
056.8	Rubella complication NOS	079	Viral infection	0568
056.9	Rubella without mention of complication	079	Viral infection	0569
057	Other viral exanthemata	079	Viral infection	057
057.0	Erythema infectiosum	079	Viral infection	0570
057.8	Other specified viral exanthemata	079	Viral infection	0578
057.9	Viral exanthemata NOS	079	Viral infection	0579
058	Other human herpesvirus	054	Herpes simplex	058
058.1	Roseola infantum	054	Herpes simplex	0581
058.10	Roseola infantum NOS	054	Herpes simplex	05810
058.11	Roseola infantum due to human herpesvirus 6	054	Herpes simplex	05811
058.12	Roseola infantum due to human herpesvirus 7	054	Herpes simplex	05812
058.2	Other human herpesvirus encephalitis	323	Encephalitis	0582
058.21	Human herpesvirus 6 encephalitis	323	Encephalitis	05821
058.29	Other human herpesvirus encephalitis	323	Encephalitis	05829
058.8	Other human herpesvirus infections	054	Herpes simplex	0588
058.81	Human herpesvirus 6 infection	054	Herpes simplex	05881
058.82	Human herpesvirus 7 infection	054	Herpes simplex	05882
058.89	Other human herpesvirus infection	054	Herpes simplex	05889
059	Other poxvirus infections	079	Viral infection	059
059.0	Other orthopoxvirus infections	079	Viral infection	0590
059.00	Orthopoxvirus infection, unspecified	079	Viral infection	05900
059.01	Monkeypox	079	Viral infection	05901
059.09	Other orthopoxvirus infection	079	Viral infection	05909
059.1	Other parapoxvirus infections	079	Viral infection	0591
059.10	Parapoxvirus infection, unspecified	079	Viral infection	05910
059.11	Bovine stomatitis	079	Viral infection	05911
059.12	Sealpox	079	Viral infection	05912
059.19	Other parapoxvirus infections	079	Viral infection	05919
059.2	Yatapoxvirus infections	079	Viral infection	0592
059.20	Yatapoxvirus infection, unspecified	079	Viral infection	05920
059.21	Tanapox	079	Viral infection	05921
059.22	Yaba monkey tumor virus	079	Viral infection	05922
059.8	Other poxvirus infections	079	Viral infection	0598
059.9	Poxvirus infection NOS	079	Viral infection	0599
060	Yellow fever	079	Viral infection	060
060.0	Sylvatic yellow fever	079	Viral infection	0600
060.1	Urban yellow fever	079	Viral infection	0601
060.9	Yellow fever NOS	079	Viral infection	0609
061	Dengue	079	Viral infection	061
062	Mosquito-borne viral encephalitis	323	Encephalitis	062
062.0	Japanese encephalitis	323	Encephalitis	0620
062.1	Western equine encephalitis	323	Encephalitis	0621
062.2	Eastern equine encephalitis	323	Encephalitis	0622
062.3	St. Louis encephalitis	323	Encephalitis	0623
062.4	Australian encephalitis	323	Encephalitis	0624
062.5	California encephalitis	323	Encephalitis	0625
062.8	Other specified mosquito-borne viral encephalitis	323	Encephalitis	0628
062.9	Mosquito-borne viral encephalitis, unspecified	323	Encephalitis	0629
063	Tick-borne viral encephalitis	323	Encephalitis	063
063.0	Russian spring-summer [taiga] encephalitis	323	Encephalitis	0630
063.1	Louping ill	323	Encephalitis	0631
063.2	Central European encephalitis	323	Encephalitis	0632
063.8	Other specified tick-borne viral encephalitis	323	Encephalitis	0638
063.9	Tick-borne viral encephalitis, unspecified	323	Encephalitis	0639
064	Viral encephalitis transmitted by other and unspecified arthropods	323	Encephalitis	064
065	Arthropod-borne hemorrhagic fever	079	Viral infection	065
065.0	Crimean hemorrhagic fever [CHF Congo virus]	079	Viral infection	0650
065.1	Omsk hemorrhagic fever	079	Viral infection	0651
065.2	Kyasanur Forest disease	079	Viral infection	0652
065.3	Other tick-borne hemorrhagic fever	079	Viral infection	0653
065.4	Mosquito-borne hemorrhagic fever	079	Viral infection	0654
065.8	Other specified arthropod-borne hemorrhagic fever	079	Viral infection	0658
065.9	Arthropod-borne hemorrhagic fever, unspecified	079	Viral infection	0659
066	Other arthropod-borne viral diseases	079	Viral infection	066
066.0	Phlebotomus fever	079	Viral infection	0660
066.1	Tick-borne fever	079	Viral infection	0661
066.2	Venezuelan equine fever	323	Encephalitis	0662
066.3	Other mosquito-borne fever	079	Viral infection	0663
066.4	West Nile fever	079	Viral infection	0664
066.40	West Nile fever NOS	079	Viral infection	06640
066.41	West Nile Fever with encephalitis	079	Viral infection	06641
066.42	West Nile Fever with other neurologic manifestation	079	Viral infection	06642
066.49	West Nile Fever with other complications	079	Viral infection	06649
066.8	Other specified arthropod-borne viral diseases	079	Viral infection	0668
066.9	Arthropod-borne viral disease, unspecified	079	Viral infection	0669
070	Viral hepatitis	070	Viral hepatitis	070
070.0	Viral hepatitis A with hepatic coma	070.1	Viral hepatitis A	0700
070.1	Viral hepatitis A without mention of hepatic coma	070.1	Viral hepatitis A	0701
070.2	Viral hepatitis B with hepatic coma	070.2	Viral hepatitis B	0702
070.20	Viral hepatitis B with hepatic coma, acute or unspecified, without mention of hepatitis delta	070.2	Viral hepatitis B	07020
070.21	Viral hepatitis B with hepatic coma, acute or unspecified, with hepatitis delta	070.2	Viral hepatitis B	07021
070.22	Viral hepatitis B with hepatic coma, chronic, without mention of hepatitis delta	070.2	Viral hepatitis B	07022
070.23	Viral hepatitis B with hepatic coma, chronic, with hepatitis delta	070.2	Viral hepatitis B	07023
070.3	Viral hepatitis B without mention of hepatic coma	070.2	Viral hepatitis B	0703
070.30	Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta	070.2	Viral hepatitis B	07030
070.31	Viral hepatitis B without mention of hepatic coma, acute or unspecified, with hepatitis delta	070.2	Viral hepatitis B	07031
070.32	Viral hepatitis B without mention of hepatic coma, chronic, without mention of hepatitis delta	070.2	Viral hepatitis B	07032
070.33	Viral hepatitis B without mention of hepatic coma, chronic, with hepatitis delta	070.2	Viral hepatitis B	07033
070.4	Other specified viral hepatitis with hepatic coma	070	Viral hepatitis	0704
070.41	Acute hepatitis C with hepatic coma	070.3	Viral hepatitis C	07041
070.42	Hepatitis delta without mention of active hepatitis B disease with hepatic coma	070	Viral hepatitis	07042
070.43	Hepatitis E with hepatic coma	070	Viral hepatitis	07043
070.44	Chronic hepatitis C with hepatic coma	070.3	Viral hepatitis C	07044
070.49	Other specified viral hepatitis with hepatic coma	070	Viral hepatitis	07049
070.5	Other specified viral hepatitis without mention of hepatic coma	070	Viral hepatitis	0705
070.51	Acute hepatitis C without mention of hepatic coma	070.3	Viral hepatitis C	07051
070.52	Hepatitis delta without mention of active hepatitis B disease or hepatic coma	070	Viral hepatitis	07052
070.53	Hepatitis E without mention of hepatic coma	070	Viral hepatitis	07053
070.54	Chronic hepatitis C without mention of hepatic coma	070.3	Viral hepatitis C	07054
070.59	Other specified viral hepatitis without mention of hepatic coma	070	Viral hepatitis	07059
070.6	Unspecified viral hepatitis with hepatic coma	070	Viral hepatitis	0706
070.7	Unspecified viral hepatitis C	070.3	Viral hepatitis C	0707
070.70	Unspecified viral hepatitis C without hepatic coma	070.3	Viral hepatitis C	07070
070.71	Unspecified viral hepatitis C with hepatic coma	070.3	Viral hepatitis C	07071
070.9	Unspecified viral hepatitis without mention of hepatic coma	070	Viral hepatitis	0709
071	Rabies	079	Viral infection	071
072	Mumps	079	Viral infection	072
072.0	Mumps orchitis	079	Viral infection	0720
072.1	Mumps meningitis	320	Meningitis	0721
072.2	Mumps encephalitis	323	Encephalitis	0722
072.3	Mumps pancreatitis	079	Viral infection	0723
072.7	Mumps with other specified complications	079	Viral infection	0727
072.71	Mumps hepatitis	079	Viral infection	07271
072.72	Mumps polyneuropathy	079	Viral infection	07272
072.79	Mumps with other specified complications	079	Viral infection	07279
072.8	Mumps complication NOS	079	Viral infection	0728
072.9	Mumps uncomplicated	079	Viral infection	0729
073	Ornithosis	079	Viral infection	073
073.0	Ornithosis with pneumonia	480.1	Bacterial pneumonia	0730
073.7	Ornithosis with other specified complications	079	Viral infection	0737
073.8	Ornithosis with unspecified complication	079	Viral infection	0738
073.9	Ornithosis NOS	079	Viral infection	0739
074	Specific diseases due to Coxsackie virus	079	Viral infection	074
074.0	Herpangina	079	Viral infection	0740
074.1	Epidemic pleurodynia	079	Viral infection	0741
074.2	Coxsackie carditis	420	Carditis	0742
074.20	Coxsackie carditis NOS	420	Carditis	07420
074.21	Coxsackie pericarditis	420.2	Pericarditis	07421
074.22	Coxsackie endocarditis	420.3	Endocarditis	07422
074.23	Coxsackie myocarditis	420.1	Myocarditis	07423
074.3	Hand, foot, and mouth disease	079	Viral infection	0743
074.8	Coxsackie virus NEC	079	Viral infection	0748
075	Infectious mononucleosis	079.2	Infectious mononucleosis	075
075.0	Infectious mononucleosis **	079.2	Infectious mononucleosis	0750
076	Trachoma	369	Infection of the eye	076
076.0	Trachoma, initial stage	369	Infection of the eye	0760
076.1	Trachoma, active stage	369	Infection of the eye	0761
076.9	Trachoma NOS	369	Infection of the eye	0769
077	Other diseases of conjunctiva due to viruses and Chlamydiae	369.2	Eye infection, viral	077
077.0	Inclusion conjunctivitis	369	Infection of the eye	0770
077.1	Epidemic keratoconjunctivitis	369.2	Eye infection, viral	0771
077.2	Pharyngoconjunctival fever	369.2	Eye infection, viral	0772
077.3	Other adenoviral conjunctivitis	369.2	Eye infection, viral	0773
077.4	Epidemic hemorrhagic conjunctivitis	369.2	Eye infection, viral	0774
077.8	Other viral conjunctivitis	369.2	Eye infection, viral	0778
077.9	Unspecified diseases of conjunctiva due to viruses and Chlamydiae	369.2	Eye infection, viral	0779
077.98	Unspecified diseases of conjunctiva due to Chlamydiae	369.2	Eye infection, viral	07798
077.99	Unspecified diseases of conjunctiva due to viruses	369.2	Eye infection, viral	07799
078	Other diseases due to viruses and Chlamydiae	079	Viral infection	078
078.0	Molluscum contagiosum	079	Viral infection	0780
078.1	Viral warts	078	Viral warts & HPV	0781
078.10	Viral warts, unspecified	078	Viral warts & HPV	07810
078.11	Condyloma acuminatum	078	Viral warts & HPV	07811
078.12	Plantar wart	078	Viral warts & HPV	07812
078.19	Other specified viral warts	078	Viral warts & HPV	07819
078.2	Sweating fever	079	Viral infection	0782
078.3	Cat-Scratch disease	079	Viral infection	0783
078.4	Foot and mouth disease	079	Viral infection	0784
078.5	Cytomegaloviral disease	079	Viral infection	0785
078.6	Hemorrhagic nephrosonephritis	079	Viral infection	0786
078.7	Arenaviral hemorrhagic fever	079	Viral infection	0787
078.8	Other specified diseases due to viruses and Chlamydiae	079	Viral infection	0788
078.81	Epidemic vertigo	079	Viral infection	07881
078.82	Epidemic vomiting syndrome	079	Viral infection	07882
078.88	Other specified diseases due to Chlamydiae	079	Viral infection	07888
078.89	Other specified diseases due to viruses and Chlamydiae	079	Viral infection	07889
079	Viral and chlamydial infection in conditions classified elsewhere and of unspecified site	079	Viral infection	079
079.0	Adenovirus infection in conditions classified elsewhere and of unspecified site	079	Viral infection	0790
079.1	ECHO virus infection in conditions classified elsewhere and of unspecified site	079	Viral infection	0791
079.2	Coxsackie virus infection in conditions classified elsewhere and of unspecified site	079	Viral infection	0792
079.3	Rhinovirus infection in conditions classified elsewhere and of unspecified site	079	Viral infection	0793
079.4	Human papillomavirus infection in conditions classified elsewhere and of unspecified site	078	Viral warts & HPV	0794
079.5	Retrovirus infection in conditions classified elsewhere and of unspecified site	079	Viral infection	0795
079.50	Unspecified Retrovirus infection in conditions classified elsewhere and of unspecified site	079	Viral infection	07950
079.51	Human T-cell lymphotrophic virus, type I [HTLV-I] infection in conditions classified elsewhere and of unspecified site	079	Viral infection	07951
079.52	Human T-cell lymphotrophic virus, type II [HTLV-II] infection in conditions classified elsewhere and of unspecified site	079	Viral infection	07952
079.53	Human immunodeficiency virus, type 2 [HIV-2] infection in conditions classified elsewhere and of unspecified site	071	Human immunodeficiency virus [HIV] disease	07953
079.59	Other specified retrovirus infection in conditions classified elsewhere and of unspecified site	079	Viral infection	07959
079.6	Respiratory syncytial virus (RSV) infection in conditions classified elsewhere and of unspecified site	079	Viral infection	0796
079.8	Other specified viral and chlamydial infections in conditions classified elsewhere and of unspecified site	079	Viral infection	0798
079.81	Hantavirus infection in conditions classified elsewhere and of unspecified site	079	Viral infection	07981
079.82	SARS-associated coronavirus	079	Viral infection	07982
079.83	Parvovirus B19	079	Viral infection	07983
079.88	Other specified chlamydial infection in conditions classified elsewhere and of unspecified site	079	Viral infection	07988
079.89	Other specified viral infection in conditions classified elsewhere and of unspecified site	079	Viral infection	07989
079.9	Unspecified viral and chlamydial infection in conditions classified elsewhere and of unspecified site	079	Viral infection	0799
079.98	Unspecified chlamydial infection in conditions classified elsewhere and of unspecified site	079	Viral infection	07998
079.99	Unspecified viral infection in conditions classified elsewhere and of unspecified site	079	Viral infection	07999
080	Louse-borne [epidemic] typhus	136	Other infectious and parasitic diseases	080
081	Other typhus	136	Other infectious and parasitic diseases	081
081.0	Murine [endemic] typhus	136	Other infectious and parasitic diseases	0810
081.1	Brill's disease	136	Other infectious and parasitic diseases	0811
081.2	Scrub typhus	136	Other infectious and parasitic diseases	0812
081.9	Typhus NOS	136	Other infectious and parasitic diseases	0819
